FSC	SSC	FL1	FL3	FL4
0	1459	0	2579	0
872	1881	0	2382	0
1177	1798	0	0	0
667	1665	1777	2180	0
864	1500	0	2158	0
52	1371	1720	0	0
462	1103	2729	2637	0
0	1136	1882	2100	0
434	1459	1739	2413	0
165	1349	2023	2231	0
481	1349	1788	2714	0
852	1755	1792	2332	0
725	1191	1793	2371	0
903	952	952	2468	0
0	1347	1880	2246	0
222	1612	1741	2583	0
1122	1082	2012	2444	0
403	1924	1508	2781	0
539	1571	1793	2407	0
119	1193	1791	2469	0
783	1449	1777	2577	0
670	1206	1800	2653	0
194	1132	1698	2494	0
675	1339	1509	2239	0
0	1299	1731	2560	0
920	1093	1766	2567	0
676	1045	1977	2344	0
0	1413	1831	2529	0
582	1749	1860	2485	0
33	1001	1711	2615	0
1627	2056	2255	2506	0
326	1185	1778	2117	0
2017	2362	0	1893	0
1204	1471	2110	2305	0
907	994	0	2401	0
989	1300	1857	2365	0
579	1142	0	0	0
784	1454	692	2375	0
865	1450	1509	2341	0
453	970	1935	2286	0
461	1199	1676	2320	0
1729	2163	1964	2297	0
0	2487	0	2598	0
575	2001	2097	2193	0
0	1347	2009	2453	0
1635	1977	2649	2426	0
1113	1973	2671	2332	0
657	1141	0	2347	0
294	1343	1986	2487	0
777	1562	0	2258	0
769	1319	1215	1891	0
0	1288	1561	2329	0
537	1911	1116	2383	0
0	1571	1299	2515	0
570	1644	0	1585	0
32	1094	1996	2202	0
0	1063	1919	2297	0
295	1327	1901	2555	0
370	1208	1711	2193	0
0	1006	1875	2487	0
1196	1385	0	2611	0
0	970	0	2359	0
348	1047	1993	2355	0
1068	1976	1976	2277	0
1009	1220	1818	2573	0
935	1664	1934	2403	0
0	1234	1317	2485	0
0	1252	0	2319	0
0	1247	1535	2265	0
1943	2302	1942	2453	0
814	1394	0	2063	0
346	1200	1726	2259	0
0	2308	2200	2473	0
901	1575	2058	2433	0
1014	1412	1844	2512	0
643	1191	1687	2455	0
577	1252	1740	406	0
1351	1747	2012	2418	0
641	1029	0	2527	0
0	954	1716	2051	0
1255	2677	1839	2551	0
285	1178	0	2055	0
694	1319	1845	1889	0
0	947	1691	1705	0
0	1715	0	2362	0
1997	2203	1630	1915	0
911	1169	0	2089	0
0	1468	0	2659	0
82	1257	0	1661	0
887	1620	1748	2215	0
295	1399	1848	2389	0
354	1214	202	1085	0
0	1275	1524	2529	0
655	1290	2169	2416	0
0	1018	1793	2434	0
1186	1624	2097	2485	0
215	1203	189	2402	0
542	1424	1793	2317	0
0	957	0	2421	0
445	1465	1771	2221	0
29	976	0	2437	0
231	1309	1046	2407	0
0	1008	1587	0	0
695	1422	1584	2270	0
37	1639	1849	2480	0
1206	1516	1440	2404	0
294	1220	1831	2395	0
263	1663	1892	2489	0
0	1085	1799	1890	0
1728	1547	0	2295	0
1147	1408	2889	2691	0
821	1340	1729	2073	0
277	1134	0	501	0
20	994	0	2261	0
275	1050	0	2205	0
609	1326	0	2611	0
0	1127	959	2302	0
226	1535	1901	2385	0
0	1299	1364	2311	0
846	1507	1914	2333	0
814	1436	1793	2251	0
8	1239	1714	2308	0
0	1310	1794	2372	0
433	1200	1796	2283	0
2148	2388	1819	2053	0
593	1246	1812	2202	0
0	1097	2089	2472	0
0	1450	0	0	0
0	1818	1616	2322	0
144	1223	0	2276	0
238	975	0	2260	0
555	1483	1472	2428	0
0	1010	1812	2468	0
197	1027	0	2031	0
120	1177	2043	1944	0
920	1362	0	2320	0
289	2142	1196	2417	0
497	1009	0	0	0
1400	1378	1610	2023	0
853	1233	1729	2250	0
361	1138	1837	2197	0
1155	1493	0	2357	0
176	1047	1972	2703	0
0	1392	1612	2281	0
1319	1340	2770	2396	0
786	1666	2041	2477	0
1653	1815	2126	2376	0
1907	2054	1917	0	0
2110	1639	0	2055	0
156	1465	1915	196	0
258	1149	1516	1766	0
0	1353	1264	2219	0
371	1359	1986	2491	0
1332	1703	1704	1172	0
0	1363	1691	2045	0
991	1544	2955	2219	0
595	1600	1945	2251	0
742	1114	0	2183	0
231	1311	0	2657	0
0	1077	1961	2121	0
593	1345	1876	2273	0
987	1685	1849	2385	0
396	1273	1848	2503	0
744	1525	0	0	0
727	1019	1676	1731	0
330	1617	1925	2143	0
2958	2770	1826	2545	0
847	1253	1548	2331	0
